politician,party,chamber,committee,ticker,action,trade_date,disclosure_date,amount_min,amount_max
Yvette Clarke,D,House,Homeland Security,MSFT,Purchase,2022-11-14,2022-12-04,15001,50000
Yvette Clarke,D,House,Homeland Security,PANW,Purchase,2023-02-13,2023-03-05,15001,50000
Yvette Clarke,D,House,Homeland Security,CRWD,Purchase,2023-05-22,2023-06-11,15001,50000
Yvette Clarke,D,House,Homeland Security,MSFT,Purchase,2023-08-14,2023-09-03,15001,50000
Yvette Clarke,D,House,Homeland Security,PANW,Purchase,2023-11-06,2023-11-26,15001,50000
Yvette Clarke,D,House,Homeland Security,CRWD,Purchase,2024-02-12,2024-03-03,15001,50000
Yvette Clarke,D,House,Homeland Security,MSFT,Purchase,2024-05-20,2024-06-09,15001,50000
Yvette Clarke,D,House,Homeland Security,PANW,Purchase,2024-08-26,2024-09-15,15001,50000
James Comer,R,House,Oversight,MSFT,Purchase,2023-02-06,2023-02-26,50001,100000
James Comer,R,House,Oversight,AMZN,Purchase,2023-04-17,2023-05-07,50001,100000
James Comer,R,House,Oversight,NVDA,Purchase,2023-06-26,2023-07-16,50001,100000
James Comer,R,House,Oversight,GOOGL,Purchase,2023-09-11,2023-10-01,50001,100000
James Comer,R,House,Oversight,MSFT,Purchase,2023-11-20,2023-12-10,100001,250000
James Comer,R,House,Oversight,AMZN,Purchase,2024-01-29,2024-02-18,100001,250000
James Comer,R,House,Oversight,NVDA,Purchase,2024-04-08,2024-04-28,100001,250000
James Comer,R,House,Oversight,META,Purchase,2024-06-10,2024-06-30,50001,100000
James Comer,R,House,Oversight,GOOGL,Purchase,2024-08-19,2024-09-08,100001,250000
James Comer,R,House,Oversight,MSFT,Purchase,2024-10-28,2024-11-17,100001,250000
Carolyn Maloney,D,House,Oversight,MSFT,Purchase,2020-03-09,2020-03-29,50001,100000
Carolyn Maloney,D,House,Oversight,GOOGL,Purchase,2020-06-15,2020-07-05,50001,100000
Carolyn Maloney,D,House,Oversight,AMZN,Purchase,2020-09-21,2020-10-11,50001,100000
Carolyn Maloney,D,House,Oversight,MSFT,Purchase,2021-01-19,2021-02-08,100001,250000
Carolyn Maloney,D,House,Oversight,NVDA,Purchase,2021-04-26,2021-05-16,50001,100000
Carolyn Maloney,D,House,Oversight,GOOGL,Purchase,2021-08-02,2021-08-22,100001,250000
Carolyn Maloney,D,House,Oversight,AMZN,Purchase,2021-11-08,2021-11-28,100001,250000
Carolyn Maloney,D,House,Oversight,MSFT,Purchase,2022-02-14,2022-03-06,100001,250000
Carolyn Maloney,D,House,Oversight,NVDA,Purchase,2022-05-23,2022-06-12,50001,100000
Carolyn Maloney,D,House,Oversight,GOOGL,Purchase,2022-08-08,2022-08-28,100001,250000
Carolyn Maloney,D,House,Oversight,AMZN,Purchase,2022-11-14,2022-12-04,100001,250000
Carolyn Maloney,D,House,Oversight,MSFT,Purchase,2023-01-30,2023-02-19,100001,250000
Patrick McHenry,R,House,Financial Services,JPM,Purchase,2021-02-08,2021-02-28,100001,250000
Patrick McHenry,R,House,Financial Services,GS,Purchase,2021-05-17,2021-06-06,100001,250000
Patrick McHenry,R,House,Financial Services,V,Purchase,2021-08-23,2021-09-12,100001,250000
Patrick McHenry,R,House,Financial Services,MA,Purchase,2021-11-15,2021-12-05,100001,250000
Patrick McHenry,R,House,Financial Services,JPM,Purchase,2022-02-14,2022-03-06,100001,250000
Patrick McHenry,R,House,Financial Services,BAC,Purchase,2022-05-16,2022-06-05,50001,100000
Patrick McHenry,R,House,Financial Services,GS,Purchase,2022-08-08,2022-08-28,100001,250000
Patrick McHenry,R,House,Financial Services,JPM,Purchase,2022-11-07,2022-11-27,250001,500000
Patrick McHenry,R,House,Financial Services,V,Purchase,2023-02-13,2023-03-05,100001,250000
Patrick McHenry,R,House,Financial Services,MA,Purchase,2023-05-22,2023-06-11,100001,250000
Patrick McHenry,R,House,Financial Services,JPM,Purchase,2023-08-07,2023-08-27,250001,500000
Patrick McHenry,R,House,Financial Services,GS,Purchase,2023-10-16,2023-11-05,100001,250000
Maxine Waters,D,House,Financial Services,JPM,Purchase,2020-04-27,2020-05-17,50001,100000
Maxine Waters,D,House,Financial Services,BAC,Purchase,2020-07-20,2020-08-09,50001,100000
Maxine Waters,D,House,Financial Services,WFC,Purchase,2020-10-19,2020-11-08,50001,100000
Maxine Waters,D,House,Financial Services,JPM,Purchase,2021-01-25,2021-02-14,100001,250000
Maxine Waters,D,House,Financial Services,V,Purchase,2021-04-26,2021-05-16,50001,100000
Maxine Waters,D,House,Financial Services,BAC,Purchase,2021-07-19,2021-08-08,100001,250000
Maxine Waters,D,House,Financial Services,WFC,Purchase,2021-10-18,2021-11-07,50001,100000
Maxine Waters,D,House,Financial Services,JPM,Purchase,2022-01-24,2022-02-13,100001,250000
Maxine Waters,D,House,Financial Services,BAC,Purchase,2022-04-25,2022-05-15,50001,100000
Maxine Waters,D,House,Financial Services,WFC,Purchase,2022-07-18,2022-08-07,50001,100000
Maxine Waters,D,House,Financial Services,JPM,Purchase,2022-10-17,2022-11-06,100001,250000
Maxine Waters,D,House,Financial Services,V,Purchase,2023-01-23,2023-02-12,100001,250000
Dan Crenshaw,R,House,Intelligence,PLTR,Purchase,2021-11-08,2021-11-28,15001,50000
Dan Crenshaw,R,House,Intelligence,AMZN,Purchase,2022-02-07,2022-02-27,15001,50000
Dan Crenshaw,R,House,Intelligence,CRWD,Purchase,2022-05-16,2022-06-05,15001,50000
Dan Crenshaw,R,House,Intelligence,PLTR,Purchase,2022-08-15,2022-09-04,15001,50000
Dan Crenshaw,R,House,Intelligence,CRWD,Purchase,2022-11-14,2022-12-04,15001,50000
Dan Crenshaw,R,House,Intelligence,PLTR,Purchase,2023-05-08,2023-05-28,15001,50000
Dan Crenshaw,R,House,Intelligence,AMZN,Purchase,2023-08-14,2023-09-03,15001,50000
Dan Crenshaw,R,House,Intelligence,CRWD,Purchase,2023-11-13,2023-12-03,15001,50000
Dan Crenshaw,R,House,Intelligence,PLTR,Purchase,2024-02-12,2024-03-03,50001,100000
Dan Crenshaw,R,House,Intelligence,CRWD,Purchase,2024-06-17,2024-07-07,15001,50000
Mark Green,R,House,Homeland Security,CRWD,Purchase,2021-06-14,2021-07-04,15001,50000
Mark Green,R,House,Homeland Security,PANW,Purchase,2021-09-20,2021-10-10,15001,50000
Mark Green,R,House,Homeland Security,CRWD,Purchase,2022-01-10,2022-01-30,15001,50000
Mark Green,R,House,Homeland Security,PANW,Purchase,2022-04-18,2022-05-08,15001,50000
Mark Green,R,House,Homeland Security,CRWD,Purchase,2022-07-11,2022-07-31,15001,50000
Mark Green,R,House,Homeland Security,PANW,Purchase,2022-10-17,2022-11-06,15001,50000
Mark Green,R,House,Homeland Security,CRWD,Purchase,2023-01-23,2023-02-12,15001,50000
Mark Green,R,House,Homeland Security,PANW,Purchase,2023-04-17,2023-05-07,15001,50000
Mark Green,R,House,Homeland Security,CRWD,Purchase,2023-07-10,2023-07-30,50001,100000
Mark Green,R,House,Homeland Security,PANW,Purchase,2023-10-16,2023-11-05,15001,50000
Mark Green,R,House,Homeland Security,CRWD,Purchase,2024-01-08,2024-01-28,50001,100000
Mark Green,R,House,Homeland Security,PANW,Purchase,2024-04-22,2024-05-12,15001,50000
